epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,173.936,0.70659,0.45132,0.96949,0.90461,0.86286,0.91631,0.62542,1.00259,0.57447,1.10345,0.000848969,0.000848969,0.000848969
43,178.192,0.70607,0.44722,0.96619,0.90801,0.7452,0.88645,0.62009,0.94031,0.5608,1.06366,0.000834822,0.000834822,0.000834822
44,182.427,0.68747,0.45368,0.96775,0.92566,0.88084,0.95774,0.63988,0.94152,0.63726,1.06284,0.000820675,0.000820675,0.000820675
45,186.624,0.68813,0.44519,0.96192,0.9425,0.81984,0.90627,0.63644,0.91234,0.60148,1.02457,0.000806528,0.000806528,0.000806528
46,190.88,0.6781,0.43944,0.95408,0.87511,0.76655,0.88112,0.63617,0.90972,0.56973,1.03491,0.00079238,0.00079238,0.00079238
47,195.084,0.67618,0.4254,0.9638,0.94863,0.81532,0.886,0.64141,0.88289,0.54421,1.01854,0.000778233,0.000778233,0.000778233
48,199.296,0.66771,0.43184,0.95755,0.96445,0.82074,0.90202,0.6282,0.92606,0.52746,1.03082,0.000764086,0.000764086,0.000764086
49,203.49,0.6672,0.43205,0.9535,0.9625,0.84365,0.905,0.62153,0.94578,0.51546,1.04917,0.000749939,0.000749939,0.000749939
50,207.674,0.68892,0.43065,0.96488,0.93537,0.84833,0.93161,0.67582,0.87968,0.55039,1.0194,0.000735792,0.000735792,0.000735792
51,211.827,0.64332,0.41515,0.94913,0.92918,0.8054,0.93963,0.65143,0.88569,0.58343,1.01361,0.000721645,0.000721645,0.000721645
52,216.051,0.67204,0.42908,0.96418,0.96119,0.90305,0.96788,0.68943,0.87381,0.53004,1.01593,0.000707498,0.000707498,0.000707498
53,220.224,0.64079,0.42494,0.93102,0.93902,0.9377,0.97624,0.67748,0.88396,0.50633,1.01862,0.000693351,0.000693351,0.000693351
54,224.361,0.67815,0.42425,0.95174,0.91293,0.93692,0.96807,0.68674,0.85012,0.57158,1.00553,0.000679204,0.000679204,0.000679204
55,228.474,0.63808,0.41036,0.94557,0.95361,0.83975,0.90879,0.63548,0.94581,0.56178,1.07762,0.000665057,0.000665057,0.000665057
56,232.578,0.62859,0.40532,0.93987,0.95732,0.92986,0.96772,0.64653,0.88571,0.55598,1.03026,0.000650909,0.000650909,0.000650909
57,236.784,0.63949,0.4165,0.94809,0.9687,0.8961,0.96795,0.63985,0.89459,0.56778,1.04061,0.000636762,0.000636762,0.000636762
58,241.109,0.63454,0.41794,0.93195,0.96758,0.92069,0.96967,0.67697,0.87932,0.52427,1.01824,0.000622615,0.000622615,0.000622615
